0,0,2018/02/25-06:39:18
4,0,2018/02/25-06:46:06
5,0,2018/02/25-06:46:44
0,3,2018/02/25-06:47:23
3,2,2018/02/25-06:48:29
1,1,2018/02/25-06:49:18
0,0,2018/02/25-06:50:05
